timestamp, x, y, z, lx, ly, lz
1400373586669, 10.681731, 0.39264908, -0.9864111, -0.54019177, 1.0067618, 0.6076783
1400373586688, 10.534488, -0.016759412, -1.7154455, -0.1038485, 0.86011696, -0.11507132
1400373586707, 11.568783, -0.05626374, -1.5873557, -0.017208325, 1.8933647, 0.010025719
1400373586726, 10.520123, -0.23702596, -0.7673417, 0.18884265, 0.85188687, 0.87328506
1400373586745, 7.7201033, -0.6823475, -0.46327803, 0.6151602, -1.9318215, 1.2699744
1400373586765, 5.4887075, -1.0737995, -1.0163386, 0.97025025, -4.142268, 0.82809454
1400373586784, 4.865018, -0.81043726, -1.9141643, 0.69461775, -4.748001, 0.020949265
1400373586803, 5.043386, -0.18794483, -2.5845408, 0.0839467, -4.557662, -0.58987147
1400373586822, 5.29358, -0.14724341, -2.944868, 0.05267244, -4.299537, -0.91234046
1400373586841, 5.00867, -0.20949265, -2.0638018, 0.119261175, -4.583699, -0.027383681
1400373586861, 3.8893807, -0.0, -1.2449849, -0.08783727, -5.7025394, 0.79397714
1400373586881, 2.6384103, 0.16759412, -0.82599956, -0.26485857, -6.9500685, 1.2285248
1400373586901, 3.1172507, -0.24540567, -1.174356, 0.13242929, -6.4683847, 0.892738
1400373586920, 3.9121256, -0.4357447, -0.8882488, 0.31004912, -5.6769514, 1.1620857
1400373586939, 3.9121256, -0.4357447, -0.8882488, 0.6717232, -6.7468605, 1.4667478
1400373586957, 2.8455088, -0.8403648, -0.5650316, 0.6717232, -6.7468605, 1.4667478
1400373586976, 2.1260512, -0.61770403, -0.40701428, 0.41943422, -7.468862, 1.6098014
1400373586995, 1.8483237, -0.21068975, -0.51595044, 0.01316811, -7.747487, 1.4969746
1400373587014, 1.8650831, 0.0035913025, -0.79008657, -0.17836803, -7.7301292, 1.2274773
1400373587034, 2.468422, -0.08379706, -0.9660604, -0.062249243, -7.1291842, 1.0420763
1400373587053, 4.224569, -0.24301147, -1.8842367, 0.124049574, -5.376479, 0.10923545
1400373587072, 6.5804634, 0.19393034, -2.5091233, -0.27144262, -3.021782, -0.51939213
1400373587092, 8.930372, -0.12569559, -3.3961751, 0.07347207, -0.66708446, -1.3822026
1400373587114, 10.990582, 0.17597382, -3.4871547, -0.19632454, 1.395221, -1.4630069
1400373587133, 11.553221, -0.33877954, -4.095282, 0.30974984, 1.9624972, -2.049287
1400373587151, 11.587936, 0.073023155, -4.4699745, -0.10055647, 2.008885, -2.3699603
1400373587171, 11.274296, 0.0035913025, -4.000711, -0.022296004, 1.7135003, -1.8191444
1400373587190, 9.464279, -0.029927522, -2.779668, 0.010923545, -0.07855974, -0.52058923
1400373587209, 7.502231, -0.29209262, -2.0027497, 0.24465749, -2.030283, 0.29897594
1400373587228, 7.5549035, -0.40342298, -2.1775265, 0.32276833, -1.9786581, 0.1189619
1400373587247, 9.00579, -0.22984336, -2.5833437, 0.13676877, -0.53570265, -0.32022446
1400373587266, 8.921992, -0.25258827, -2.670732, 0.14395137, -0.6226421, -0.42152914
1400373587286, 8.522161, -0.4309563, -2.8072014, 0.3012205, -1.0191817, -0.5457283
1400373587305, 8.932767, -0.29448682, -2.9400797, 0.15936404, -0.6049848, -0.6633435
1400373587325, 8.748413, -0.19393034, -3.1866825, 0.060902506, -0.78335285, -0.88510644
1400373587344, 8.60117, -0.17597382, -3.1998506, 0.052223526, -0.9243115, -0.87193835
1400373587364, 8.277952, -0.19512744, -3.1842883, 0.08454525, -1.2401965, -0.82599956
1400373587384, 7.8326306, -0.1412579, -3.0059202, 0.040402155, -1.6783354, -0.618153
1400373587403, 7.0006456, -0.11851298, -2.7138276, 0.0047884034, -2.504335, -0.30301616
1400373587423, 6.1423244, -0.034715924, -2.1859062, -0.116418056, -3.3604116, 0.23133974
1400373587442, 4.7548847, -0.14844051, -1.3479356, -0.061052144, -4.7483006, 1.0631752
1400373587460, 4.7548847, -0.14844051, -1.3479356, -0.061052144, -4.7483006, 1.0631752
